Iain Stewart; 1964; Scotland; University of Bristol
Iain Stewart; 1964; Scotland; University of Strathclyde
Cheryl Praeger; 1948; Australia; University of Oxford
Cheryl Praeger; 1948; Australia; University of Queensland
Ludwig Von Bertalanffy; 1901; Austria; University of Vienna
Edward Belbruno; 1951; Germany; New York University
Miltiadis Papanikolaou; 1947; Greece; Aristotle University of Thessaloniki
Miltiadis Papanikolaou; 1947; Greece; Ludwig Maximilian University of Munich
Kevin Desouza; 1979; India; Illinois Institute of Technology
Atta Ur Rahman; 1942; India; University of Cambridge
Atta Ur Rahman; 1942; India; University of Karachi
Kevin Desouza; 1979; India; University of Illinois at Chicago
Houshang Amirahmadi; 1947; Iran; Cornell University
Houshang Amirahmadi; 1947; Iran; University of Tabriz
Houshang Amirahmadi; 1947; Iran; University of Dallas
Elkhonon Goldberg; 1946; Latvia; Moscow State University
Alfonso Valenzuela-Aguilera; 1964; Mexico; University of Paris
Theodore Brewster Taylor; 1925; Mexico; California Institute of Technology
Theodore Brewster Taylor; 1925; Mexico; University of California, Berkeley
Theodore Brewster Taylor; 1925; Mexico; Cornell University
Alfonso Valenzuela-Aguilera; 1964; Mexico; Universidad Iberoamericana
Alfonso Valenzuela-Aguilera; 1964; Mexico; National Autonomous University of Mexico
Ed van den Heuvel; 1940; Netherlands; Utrecht University
Bartel Leendert van der Waerden; 1903; Netherlands; University of Amsterdam
Clodomiro Picado Twight; 1887; Nicaragua; University of Paris
Tshilidzi Marwala; 1971; South Africa; Harvard Business School
Tshilidzi Marwala; 1971; South Africa; University of Pretoria
Tshilidzi Marwala; 1971; South Africa; Case Western Reserve University
Tshilidzi Marwala; 1971; South Africa; University of Cambridge
David Forbes Hendry; 1944; United Kingdom; London School of Economics
Keith Campbell; 1954; United Kingdom; University of London
C. P. Baron Snow Snow; 1905; United Kingdom; Christ's College, Cambridge
David Forbes Hendry; 1944; United Kingdom; University of Aberdeen
Derek Abbott; 1960; United Kingdom; University of Adelaide
Iain Stewart; 1964; United Kingdom; University of Bristol
Keith Campbell; 1954; United Kingdom; University of Sussex
C. P. Baron Snow Snow; 1905; United Kingdom; University of Leicester
Derek Abbott; 1960; United Kingdom; Loughborough University
Iain Stewart; 1964; United Kingdom; University of Strathclyde
Kevin J. Tracey; 1957; United States; Boston University
Dorothy Ferebee; 1898; United States; Simmons College
John Mauchly; 1907; United States; Johns Hopkins University
Jack Horkheimer; 1938; United States; Purdue University
Richard G. Hovannisian; 1932; United States; University of California, Berkeley
Stephen Juan; 1949; United States; University of California, Berkeley
Richard G. Hovannisian; 1932; United States; University of California, Los Angeles
Victor John Stenger; 1935; United States; University of California, Los Angeles
Richard Wesley Hamming; 1915; United States; University of Chicago
Jesse Ehrenfeld; 1978; United States; University of Chicago
Gregory Wheeler; 1968; United States; University of Rochester
Caldwell Esselstyn; 1933; United States; Yale University
William Nye; 1955; United States; Cornell University
Caldwell Esselstyn; 1933; United States; Case Western Reserve University School of Medicine
Francis Low; 1921; United States; Columbia University
Manning Julian Dauer; 1909; United States; University of Florida
Irvin D. Yalom; 1931; United States; George Washington University
Jesse Ehrenfeld; 1978; United States; Harvard T.H. Chan School of Public Health
Dorothy Ferebee; 1898; United States; Tufts University School of Medicine
Peter A. Olsson; 1941; United States; Baylor College of Medicine
Jesse Ehrenfeld; 1978; United States; Haverford College
Lloyd Berkner; 1905; United States; University of Minnesota
Peter A. Olsson; 1941; United States; University of Vermont
Peter A. Olsson; 1941; United States; Wheaton College (Illinois)
Scott D. Sampson; 1961; Canada; University of Toronto
Gilles Pisier; 1950; France; Paris Diderot University
P. K. Kelkar; 1909; India; Indian Institute of Science
Ishwar K. Puri; 1959; India; University of California, San Diego
A. Sivathanu Pillai; 1947; India; Harvard University
Pranav Mistry; 1981; India; Nirma University of Science and Technology
A. Sivathanu Pillai; 1947; India; Savitribai Phule Pune University
P. K. Kelkar; 1909; India; University of Liverpool
P. K. Kelkar; 1909; India; Institute of Science
T.V. Paul; 1950; India; Madras Christian College
Pranav Mistry; 1981; India; Indian Institute of Technology Bombay
Pranav Mistry; 1981; India; MIT Media Lab
Bharath Sriraman; 1971; India; Northern Illinois University
Bharath Sriraman; 1971; India; University of Alaska Fairbanks
A. Sivathanu Pillai; 1947; India; University of Madras
T.V. Paul; 1950; India; University of Madras
Hamid Soltanian-Zadeh; 1960; Iran; University of Michigan
Carlo La Vecchia; 1955; Italy; University of Milan
Alexei Fridman; 1940; Russia; Novosibirsk State University
Benjamin Isaac; 1945; Switzerland; University of Amsterdam
Mike Hulme; 1960; United Kingdom; Swansea University
Mike Hulme; 1960; United Kingdom; Durham University
John Bradfield; 1925; United Kingdom; University of Cambridge
Nigel Shadbolt; 1956; United Kingdom; University of Edinburgh
Nigel Shadbolt; 1956; United Kingdom; Newcastle University
Yvonne Shirley Thornton; 1947; United States; Columbia University Mailman School of Public Health
Jacqueline K. Barton; 1952; United States; Barnard College
Thomas H. Maren; 1918; United States; Johns Hopkins University
Bernard Vonnegut; 1914; United States; Massachusetts Institute of Technology
Thomas H. Maren; 1918; United States; Princeton University
Alan Jay Heeger; 1936; United States; University of California, Berkeley
Gary Goldschneider; 1939; United States; University of Pennsylvania
Jennifer Rohn; 1967; United States; University of Washington
Gary Goldschneider; 1939; United States; Yale University
