Alexandru, Athanasiu, 1955, Romania, University of Bucharest
Andrew, Duff, 1950, United Kingdom, St John's College, Cambridge
Andrew, Duff, 1950, United Kingdom, Sherborne School
Alexandru, Athanasiu, 1955, Romania, University of Bucharest
Anna Maria Corazza, Bildt, 1963, Italy, Columbia University
Anna Maria Corazza, Bildt, 1963, Italy, University of San Diego
Antoni, Macierewicz, 1948, Poland, University of Warsaw
Antonio, Tajani, 1953, Italy, Sapienza University of Rome
Malakas, Samaras, 1951, Greece, Amherst College
Malakas, Samaras, 1951, Greece, Harvard Business School
Ashley, Fox, 1969, England, University of the West of England
Ashley, Fox, 1969, United Kingdom, University of the West of England
Avril, Doyle, 1949, Republic of Ireland, University College Dublin
Bashir, Khanbhai, 1945, Tanzania, Balliol College, Oxford
Bashir, Khanbhai, 1945, Tanzania, UCL School of Pharmacy
Boris, Zala, 1954, Slovakia, Comenius University in Bratislava
Borut, Pahor, 1963, Slovenia, University of Ljubljana
Brian, Crowley, 1964, Republic of Ireland, University College Cork
Camiel, Eurlings, 1973, Netherlands, Eindhoven University of Technology
Carl, Schlyter, 1968, Sweden, Royal Institute of Technology
Christofer, Fjellner, 1976, Sweden, Lund University
Christofer, Fjellner, 1976, Sweden, Uppsala University
Colm, Burke, 1957, Ireland cricket team, University College Cork
Daniel, Hannan, 1971, Peru, Marlborough College
Daniel, Hannan, 1971, Peru, Oriel College, Oxford
David, Campbell-Bannerman, 1960, India, Bryanston School
David, Campbell-Bannerman, 1960, India, University of Pennsylvania
David, Campbell-Bannerman, 1960, India, University of Edinburgh
Emma, Bonino, 1948, Italy, Bocconi University
Enrico, Letta, 1966, Italy, Sant'Anna School of Advanced Studies
Enrico, Letta, 1966, Italy, University of Pisa
Gay, Mitchell, 1951, Republic of Ireland, Dublin Institute of Technology
Gay, Mitchell, 1951, Republic of Ireland, Queen's University Belfast
Gerard, Collins, 1938, Republic of Ireland, University College Dublin
Giorgio, Napolitano, 1925, Italy, University of Naples Federico II
Godelieve, Quisthoudt-Rowohl, 1947, Belgium, Katholieke Universiteit Leuven
Guy Maurice Marie Louise, Verhofstadt, 1953, Belgium, Ghent University
Helle, Thorning-Schmidt, 1966, Denmark, College of Europe
