Mario Vargas Llosa;Complutense University of Madrid
Mario Vargas Llosa;National University of San Marcos
Frederik Willem de Klerk;Potchefstroom University for Christian Higher Education
George E. Smith;University of Chicago
George E. Smith;University of Pennsylvania
Fritz Albert Lipmann;Humboldt University of Berlin
Fritz Albert Lipmann;Kaiser Wilhelm Society
Fritz Albert Lipmann;Ludwig Maximilian University of Munich
Shinya Yamanaka;Kobe University
Shinya Yamanaka;Osaka City University
Lars Onsager;Norwegian University of Science and Technology
Ronald Ross;Barts and The London School of Medicine and Dentistry
Ronald Ross;Worshipful Society of Apothecaries
Alan Lloyd Hodgkin;Trinity College, Cambridge
Shimon Peres;Harvard University
Shimon Peres;New York University
Shimon Peres;The New School
Frederick Sanger;St John's College, Cambridge
Wendell Meredith Stanley;Earlham College
Gunnar Myrdal;Stockholm University
Toshihide Maskawa;Nagoya University
Muhammad Yunus;University of Dhaka
Dickinson W. Richards;Yale University
Dickinson W. Richards;Columbia University College of Physicians and Surgeons
Thomas J. Sargent;University of California, Berkeley
Thomas J. Sargent;Doctor of Philosophy
Thomas J. Sargent;Harvard University
Thomas J. Sargent;Bachelor of Arts
James Chadwick;University of Manchester
James Chadwick;University of Cambridge
Odd Hassel;University of Oslo
David J. Wineland;University of California, Berkeley
David J. Wineland;University of Washington
David J. Wineland;Harvard University
Fritz Haber;Humboldt University of Berlin
Fritz Haber;Heidelberg University
Fritz Haber;Technical University of Berlin
Enrico Fermi;Scuola Normale Superiore di Pisa
Samuel Beckett;Trinity College, Dublin
Arthur Leonard Schawlow;University of Toronto
Leonid Vitaliyevich Kantorovich;Saint Petersburg State University
Burton Richter;Massachusetts Institute of Technology
Murray Gell-Mann;Massachusetts Institute of Technology
Murray Gell-Mann;Yale University
Richard Adolf Zsigmondy;Vienna University of Technology
Richard Adolf Zsigmondy;Ludwig Maximilian University of Munich
Paul Berg;Case Western Reserve University
Paul Berg;Pennsylvania State University
Aaron Klug;Trinity College, Cambridge
Carl David Anderson;California Institute of Technology
Carl David Anderson;Doctor of Philosophy
Riccardo Giacconi;University of Milan
Eugene Paul Wigner;Technical University of Berlin
Polykarp Kusch;Case Western Reserve University
David J. Gross;University of California, Berkeley
David J. Gross;Hebrew University of Jerusalem
Otto Heinrich Warburg;Humboldt University of Berlin
Otto Heinrich Warburg;Heidelberg University
Wolfgang Paul;Technical University of Berlin
James Dewey Watson;University of Chicago
James Dewey Watson;Indiana University
David Baltimore;Rockefeller University
David Baltimore;Swarthmore College
John Robert Schrieffer;Massachusetts Institute of Technology
Jerome Karle;City College of New York
Jerome Karle;University of Michigan
Jerome Karle;Harvard University
Ernst Boris Chain;Humboldt University of Berlin
Johannes Stark;Ludwig Maximilian University of Munich
Alfred G. Gilman;Case Western Reserve University
John Howard Northrop;Columbia University
Makoto Kobayashi;Nagoya University
Howard Martin Temin;California Institute of Technology
Howard Martin Temin;Swarthmore College
Oliver Smithies;University of Oxford
Oliver Smithies;Balliol College, Oxford
Arvid Carlsson;Lund University
Joseph John Thomson;University of Manchester
Joseph John Thomson;University of Cambridge
Julius Axelrod;City College of New York
Julius Axelrod;George Washington University Medical School
Robert Hofstadter;Princeton University
Robert Hofstadter;City College of New York
Leo James Rainwater;California Institute of Technology
Leo James Rainwater;Columbia University
Osamu Shimomura;Nagasaki University
Osamu Shimomura;Nagoya University
Isamu Akasaki;Nagoya University
Isamu Akasaki;Kyoto University
Hans Adolf Krebs;University of Hamburg
Hans Adolf Krebs;Humboldt University of Berlin
Hans Adolf Krebs;University of Freiburg
Irwin Rose;University of Chicago
Konstantin Novoselov;Radboud University Nijmegen
Konstantin Novoselov;Moscow Institute of Physics and Technology
Liu Xiaobo;Beijing Normal University
Liu Xiaobo;Jilin University
Isidor Isaac Rabi;Cornell University
Isidor Isaac Rabi;Columbia University
Hermann Staudinger;Martin Luther University of Halle-Wittenberg
Samuel Chao Chung Ting;University of Michigan
Philip Showalter Hench;Lafayette College
Philip Showalter Hench;University of Pittsburgh
John Franklin Enders;Yale University
Owen Willans Richardson;University College London
Owen Willans Richardson;University of Cambridge
Tawakkol Karman;University of Science and Technology, Sana'a
Tawakkol Karman;Sana'a University
Robert B. Laughlin;Massachusetts Institute of Technology
Robert B. Laughlin;University of California, Berkeley
Walter Kohn;University of Toronto
Walter Kohn;Harvard University
Otto Hahn;University of Marburg
Edward C. Prescott;Carnegie Mellon University
Edward C. Prescott;Case Western Reserve University
Edward C. Prescott;Swarthmore College
William Lawrence Bragg;University of Adelaide
William Lawrence Bragg;University of Cambridge
Edward Calvin Kendall;Columbia University
Ronald George Wreyford Norrish;University of Cambridge
Robert W. Holley;Cornell University
Peter A. Diamond;Massachusetts Institute of Technology
Peter A. Diamond;Yale University
Edward Lawrie Tatum;University of Chicago
Masatoshi Koshiba;University of Rochester
Masatoshi Koshiba;University of Tokyo
Steven Weinberg;Princeton University
Steven Weinberg;Cornell University
Renato Dulbecco;University of Turin
Antony Hewish;King's College, Taunton
Antony Hewish;Cavendish Laboratory
Antony Hewish;Gonville and Caius College, Cambridge
Felix Bloch;ETH Zurich
Felix Bloch;Leipzig University
Walter Gilbert;Trinity College, Cambridge
Walter Gilbert;Harvard University
David H. Hubel;McGill University
Clinton Joseph Davisson;Princeton University
Clinton Joseph Davisson;University of Chicago
Christian B. Anfinsen;University of Pennsylvania
Christian B. Anfinsen;Harvard Medical School
Christian B. Anfinsen;Swarthmore College
H. Robert Horvitz;Massachusetts Institute of Technology
H. Robert Horvitz;Harvard University
John B. Fenn;Berea College
John B. Fenn;Yale University
Frits Zernike;University of Amsterdam
Val Logsdon Fitch;Columbia University
Val Logsdon Fitch;McGill University
Wolfgang Ketterle;Max Planck Institute of Quantum Optics
Wolfgang Ketterle;Heidelberg University
Wolfgang Ketterle;Ludwig Maximilian University of Munich
Vladimir Prelog;Czech Technical University in Prague
Melvin Schwartz;Columbia University
Harold E. Varmus;Amherst College
Harold E. Varmus;Harvard University
Harold E. Varmus;Columbia University College of Physicians and Surgeons
Carl Bosch;Technical University of Berlin
Heike Kamerlingh Onnes;University of Groningen
Heike Kamerlingh Onnes;Heidelberg University
Martin Rodbell;Johns Hopkins University
Martin Rodbell;University of Washington
Richard E. Taylor;Stanford University
Richard E. Taylor;University of Alberta
John C. Polanyi;University of Manchester
Cecil Frank Powell;University of Cambridge
Stanley Cohen;Oberlin College
Stanley Cohen;University of Michigan
Stanley Cohen;Brooklyn College
Herbert C. Brown;University of Chicago
Edgar Douglas Adrian;University of Cambridge
Vitaly L. Ginzburg;Moscow State University
Julian Schwinger;City College of New York
Julian Schwinger;Columbia University
Patrick White;University of Cambridge
John R. Hicks;Balliol College, Oxford
Sidney Altman;Massachusetts Institute of Technology
Sidney Altman;University of Colorado Boulder
Gerhard Domagk;University of Kiel
Tomas Lindahl;Karolinska Institutet
