Herbert A. Hauptman;The Medical Foundation of Buffalo
Sir Charles Scott Sherrington;University of Oxford
Richard Martin Willstätter;Munich University
Jean Baptiste Perrin;Sorbonne University
James Batcheller Sumner;Cornell University
Merton H. Miller;University of Chicago
Herbert A. Simon;Carnegie Mellon University
Wilhelm Conrad Röntgen;Munich University
George A. Akerlof;University of California
Il´ja Mikhailovich Frank;University of Moscow
Il´ja Mikhailovich Frank;P.N. Lebedev Physical Institute
Erwin Schrödinger;Berlin University
Vernon L. Smith;George Mason University
Santiago Ramón y Cajal;Madrid University
Marshall W. Nirenberg;National Institutes of Health
Klaus von Klitzing;Max-Planck-Institut für Festkörperforschung
Sir Paul M. Nurse;Imperial Cancer Research Fund
Takaaki Kajita;University of Tokyo
Edvard I. Moser;Norwegian University of Science and Technology (NTNU)
Roderick MacKinnon;Rockefeller University
Roderick MacKinnon;Howard Hughes Medical Institute
Paul Greengard;Rockefeller University
Douglas D. Osheroff;Stanford University
Hans G. Dehmelt;University of Washington
Raymond Davis Jr.;University of Pennsylvania
Sir Frank Macfarlane Burnet;Walter and Eliza Hall Institute for Medical Research
Kurt Wüthrich;The Scripps Research Institute
Kurt Wüthrich;Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)
Hans Karl August Simon von Euler-Chelpin;Stockholm University
John R. Vane;The Wellcome Research Laboratories
Rosalyn Yalow;Veterans Administration Hospital
Thomas C. Südhof;Howard Hughes Medical Institute
Thomas C. Südhof;Stanford University
Robert F. Engle III;New York University
Robert Bruce Merrifield;Rockefeller University
Niels K. Jerne;Basel Institute for Immunology
George Wald;Harvard University
Ernest Thomas Sinton Walton;Trinity College
Bert Sakmann;Max-Planck-Institut für medizinische Forschung
Martin L. Perl;Stanford University
Peter W. Higgs;University of Edinburgh
Werner Karl Heisenberg;Leipzig University
Peter Agre;Johns Hopkins University School of Medicine
Gerhard Herzberg;National Research Council of Canada
Sir Bernard Katz;University College
Peter C. Doherty;St. Jude Children's Research Hospital
Joseph H. Taylor Jr.;Princeton University
Lord (Alexander R.) Todd;University of Cambridge
Ilya Ilyich Mechnikov;Institut Pasteur
J. Georg Bednorz;IBM Zurich Research Laboratory
Aziz Sancar;University of North Carolina
Gertrude B. Elion;Wellcome Research Laboratories
William Parry Murphy;Harvard University
