Iain Stewart;1964;Scotland;University of Bristol;no
Iain Stewart;1964;Scotland;University of Strathclyde;no
Cheryl Praeger;1948;Australia;University of Oxford;no
Cheryl Praeger;1948;Australia;University of Queensland;no
Ludwig Von Bertalanffy;1901;Austria;University of Vienna;no
Edward Belbruno;1951;Germany;New York University;no
Miltiadis Papanikolaou;1947;Greece;Aristotle University of Thessaloniki;no
Miltiadis Papanikolaou;1947;Greece;Ludwig Maximilian University of Munich;no
Kevin Desouza;1979;India;Illinois Institute of Technology;no
Atta Ur Rahman;1942;India;University of Cambridge;no
Atta Ur Rahman;1942;India;University of Karachi;no
Kevin Desouza;1979;India;University of Illinois at Chicago;no
Houshang Amirahmadi;1947;Iran;Cornell University;no
Houshang Amirahmadi;1947;Iran;University of Tabriz;no
Houshang Amirahmadi;1947;Iran;University of Dallas;no
Elkhonon Goldberg;1946;Latvia;Moscow State University;no
Alfonso Valenzuela-Aguilera;1964;Mexico;University of Paris;no
Theodore Brewster Taylor;1925;Mexico;California Institute of Technology;no
Theodore Brewster Taylor;1925;Mexico;University of California, Berkeley;no
Theodore Brewster Taylor;1925;Mexico;Cornell University;no
Alfonso Valenzuela-Aguilera;1964;Mexico;Universidad Iberoamericana;no
Alfonso Valenzuela-Aguilera;1964;Mexico;National Autonomous University of Mexico;no
Ed van den Heuvel;1940;Netherlands;Utrecht University;no
Bartel Leendert van der Waerden;1903;Netherlands;University of Amsterdam;no
Clodomiro Picado Twight;1887;Nicaragua;University of Paris;no
Tshilidzi Marwala;1971;South Africa;Harvard Business School;no
Tshilidzi Marwala;1971;South Africa;University of Pretoria;no
Tshilidzi Marwala;1971;South Africa;Case Western Reserve University;no
Tshilidzi Marwala;1971;South Africa;University of Cambridge;no
David Forbes Hendry;1944;United Kingdom;London School of Economics;no
Keith Campbell;1954;United Kingdom;University of London;no
C. P. Baron Snow Snow;1905;United Kingdom;Christ's College, Cambridge;no
David Forbes Hendry;1944;United Kingdom;University of Aberdeen;no
Derek Abbott;1960;United Kingdom;University of Adelaide;no
Iain Stewart;1964;United Kingdom;University of Bristol;no
Keith Campbell;1954;United Kingdom;University of Sussex;no
C. P. Baron Snow Snow;1905;United Kingdom;University of Leicester;no
Derek Abbott;1960;United Kingdom;Loughborough University;no
Iain Stewart;1964;United Kingdom;University of Strathclyde;no
Kevin J. Tracey;1957;United States;Boston University;no
Dorothy Ferebee;1898;United States;Simmons College;no
John Mauchly;1907;United States;Johns Hopkins University;no
Jack Horkheimer;1938;United States;Purdue University;no
Richard G. Hovannisian;1932;United States;University of California, Berkeley;no
Stephen Juan;1949;United States;University of California, Berkeley;no
Richard G. Hovannisian;1932;United States;University of California, Los Angeles;no
Victor John Stenger;1935;United States;University of California, Los Angeles;no
Richard Wesley Hamming;1915;United States;University of Chicago;no
Jesse Ehrenfeld;1978;United States;University of Chicago;no
Gregory Wheeler;1968;United States;University of Rochester;no
Caldwell Esselstyn;1933;United States;Yale University;no
William Nye;1955;United States;Cornell University;no
Caldwell Esselstyn;1933;United States;Case Western Reserve University School of Medicine;no
Francis Low;1921;United States;Columbia University;no
Manning Julian Dauer;1909;United States;University of Florida;no
Irvin D. Yalom;1931;United States;George Washington University;no
Jesse Ehrenfeld;1978;United States;Harvard T.H. Chan School of Public Health;no
Dorothy Ferebee;1898;United States;Tufts University School of Medicine;no
Peter A. Olsson;1941;United States;Baylor College of Medicine;no
Jesse Ehrenfeld;1978;United States;Haverford College;no
Lloyd Berkner;1905;United States;University of Minnesota;no
Peter A. Olsson;1941;United States;University of Vermont;no
Peter A. Olsson;1941;United States;Wheaton College (Illinois);no
Scott D. Sampson;1961;Canada;University of Toronto;no
Gilles Pisier;1950;France;Paris Diderot University;no
P. K. Kelkar;1909;India;Indian Institute of Science;no
Ishwar K. Puri;1959;India;University of California, San Diego;no
A. Sivathanu Pillai;1947;India;Harvard University;no
Pranav Mistry;1981;India;Nirma University of Science and Technology;no
A. Sivathanu Pillai;1947;India;Savitribai Phule Pune University;no
P. K. Kelkar;1909;India;University of Liverpool;no
P. K. Kelkar;1909;India;Institute of Science;no
T.V. Paul;1950;India;Madras Christian College;no
Pranav Mistry;1981;India;Indian Institute of Technology Bombay;no
Pranav Mistry;1981;India;MIT Media Lab;no
Bharath Sriraman;1971;India;Northern Illinois University;no
Bharath Sriraman;1971;India;University of Alaska Fairbanks;no
A. Sivathanu Pillai;1947;India;University of Madras;no
T.V. Paul;1950;India;University of Madras;no
Hamid Soltanian-Zadeh;1960;Iran;University of Michigan;no
Carlo La Vecchia;1955;Italy;University of Milan;no
Alexei Fridman;1940;Russia;Novosibirsk State University;no
Benjamin Isaac;1945;Switzerland;University of Amsterdam;no
Mike Hulme;1960;United Kingdom;Swansea University;no
Mike Hulme;1960;United Kingdom;Durham University;no
John Bradfield;1925;United Kingdom;University of Cambridge;no
Nigel Shadbolt;1956;United Kingdom;University of Edinburgh;no
Nigel Shadbolt;1956;United Kingdom;Newcastle University;no
Yvonne Shirley Thornton;1947;United States;Columbia University Mailman School of Public Health;no
Jacqueline K. Barton;1952;United States;Barnard College;no
Thomas H. Maren;1918;United States;Johns Hopkins University;no
Bernard Vonnegut;1914;United States;Massachusetts Institute of Technology;no
Thomas H. Maren;1918;United States;Princeton University;no
Alan Jay Heeger;1936;United States;University of California, Berkeley;no
Gary Goldschneider;1939;United States;University of Pennsylvania;no
