Iain Stewart;1964;Scotland;bristol;no
Iain Stewart;1964;Scotland;strathclyde;no
Cheryl Praeger;1948;Australia;oxford;no
Cheryl Praeger;1948;Australia;queensland;no
Ludwig Von Bertalanffy;1901;Austria;vienna;no
Edward Belbruno;1951;Germany;new york;no
Miltiadis Papanikolaou;1947;Greece;aristotle thessaloniki;no
Miltiadis Papanikolaou;1947;Greece;ludwig maximilian munich;no
Kevin Desouza;1979;India;illinois institute technology;no
Atta Ur Rahman;1942;India;cambridge;no
Atta Ur Rahman;1942;India;karachi;no
Kevin Desouza;1979;India;illinois at chicago;no
Houshang Amirahmadi;1947;Iran;cornell;no
Houshang Amirahmadi;1947;Iran;tabriz;no
Houshang Amirahmadi;1947;Iran;dallas;no
Elkhonon Goldberg;1946;Latvia;moscow;no
Alfonso Valenzuela-Aguilera;1964;Mexico;paris;no
Theodore Brewster Taylor;1925;Mexico;california institute technology;no
Theodore Brewster Taylor;1925;Mexico;california, berkeley;no
Theodore Brewster Taylor;1925;Mexico;cornell;no
Alfonso Valenzuela-Aguilera;1964;Mexico;universidad iberoamericana;no
Alfonso Valenzuela-Aguilera;1964;Mexico;national autonomous mexico;no
Ed van den Heuvel;1940;Netherlands;utrecht;no
Bartel Leendert van der Waerden;1903;Netherlands;amsterdam;no
Clodomiro Picado Twight;1887;Nicaragua;paris;no
Tshilidzi Marwala;1971;South Africa;harvard business school;no
Tshilidzi Marwala;1971;South Africa;pretoria;no
Tshilidzi Marwala;1971;South Africa;case western reserve;no
Tshilidzi Marwala;1971;South Africa;cambridge;no
David Forbes Hendry;1944;United Kingdom;london school economics;no
Keith Campbell;1954;United Kingdom;london;no
C. P. Baron Snow Snow;1905;United Kingdom;christs college, cambridge;no
David Forbes Hendry;1944;United Kingdom;aberdeen;no
Derek Abbott;1960;United Kingdom;adelaide;no
Iain Stewart;1964;United Kingdom;bristol;no
Keith Campbell;1954;United Kingdom;sussex;no
C. P. Baron Snow Snow;1905;United Kingdom;leicester;no
Derek Abbott;1960;United Kingdom;loughborough;no
Iain Stewart;1964;United Kingdom;strathclyde;no
Kevin J. Tracey;1957;United States;boston;no
Dorothy Ferebee;1898;United States;simmons;no
John Mauchly;1907;United States;johns hopkins;no
Jack Horkheimer;1938;United States;purdue;no
Richard G. Hovannisian;1932;United States;california, berkeley;no
Stephen Juan;1949;United States;california, berkeley;no
Richard G. Hovannisian;1932;United States;california, los angeles;no
Victor John Stenger;1935;United States;california, los angeles;no
Richard Wesley Hamming;1915;United States;chicago;no
Jesse Ehrenfeld;1978;United States;chicago;no
Gregory Wheeler;1968;United States;rochester;no
Caldwell Esselstyn;1933;United States;yale;no
William Nye;1955;United States;cornell;no
Caldwell Esselstyn;1933;United States;case western reserve school medicine;no
Francis Low;1921;United States;columbia;no
Manning Julian Dauer;1909;United States;florida;no
Irvin D. Yalom;1931;United States;george washington;no
Jesse Ehrenfeld;1978;United States;harvard t.h. chan school public health;no
Dorothy Ferebee;1898;United States;tufts school medicine;no
Peter A. Olsson;1941;United States;baylor medicine;no
Jesse Ehrenfeld;1978;United States;haverford;no
Lloyd Berkner;1905;United States;minnesota;no
Peter A. Olsson;1941;United States;vermont;no
Peter A. Olsson;1941;United States;wheaton (illinois);no
Scott D. Sampson;1961;Canada;toronto;no
Gilles Pisier;1950;France;paris diderot;no
P. K. Kelkar;1909;India;indian institute science;no
Ishwar K. Puri;1959;India;california, san diego;no
A. Sivathanu Pillai;1947;India;harvard;no
Pranav Mistry;1981;India;nirma science and technology;no
A. Sivathanu Pillai;1947;India;savitribai phule pune;no
P. K. Kelkar;1909;India;liverpool;no
P. K. Kelkar;1909;India;institute science;no
T.V. Paul;1950;India;madras christian;no
Pranav Mistry;1981;India;indian institute technology bombay;no
Pranav Mistry;1981;India;mit media lab;no
Bharath Sriraman;1971;India;northern illinois;no
Bharath Sriraman;1971;India;alaska fairbanks;no
A. Sivathanu Pillai;1947;India;madras;no
T.V. Paul;1950;India;madras;no
Hamid Soltanian-Zadeh;1960;Iran;michigan;no
Carlo La Vecchia;1955;Italy;milan;no
Alexei Fridman;1940;Russia;novosibirsk;no
Benjamin Isaac;1945;Switzerland;amsterdam;no
Mike Hulme;1960;United Kingdom;swansea;no
Mike Hulme;1960;United Kingdom;durham;no
John Bradfield;1925;United Kingdom;cambridge;no
Nigel Shadbolt;1956;United Kingdom;edinburgh;no
Nigel Shadbolt;1956;United Kingdom;newcastle;no
Yvonne Shirley Thornton;1947;United States;columbia mailman school public health;no
Jacqueline K. Barton;1952;United States;barnard;no
Thomas H. Maren;1918;United States;johns hopkins;no
Bernard Vonnegut;1914;United States;massachusetts institute technology;no
Thomas H. Maren;1918;United States;princeton;no
Alan Jay Heeger;1936;United States;california, berkeley;no
Gary Goldschneider;1939;United States;pennsylvania;no
Jennifer Rohn;1967;United States;washington;no
Gary Goldschneider;1939;United States;yale;no
Bernard Vonnegut;1914;United States;doctor philosophy;no
Jacqueline K. Barton;1952;United States;columbia;no
David Peter Stroh;1950;United States;michigan;no
Richard S. Varga;1928;United States;harvard;no
Richard S. Varga;1928;United States;case western reserve;no
Clarence Lusane;1953;United States;howard;no
Yvonne Shirley Thornton;1947;United States;columbia physicians and surgeons;no
Yvonne Shirley Thornton;1947;United States;monmouth;no
Richard Levine;1939;United States;rensselaer polytechnic institute;no
Richard Levine;1939;United States;rhode island school design;no
Jon M. Mills;1947;United States;stetson;no
Frank Lee Pyman;1882;Worcestershire;manchester;no
John Cornforth;1917;Australia;sydney;no
George Chaldakov;1940;Bulgaria;doctor philosophy;no
Andrew Carnie;1969;Canada;massachusetts institute technology;no
John Johnston Oneill;1886;Canada;yale;no
Duncan J. Watts;1971;Canada;cornell;no
Henri Lebesgue;1875;France;paris;no
Louis de Broglie;1892;France;paris;no
Athanassios S Fokas;1952;Greece;california institute technology;no
Robert Hanbury Brown;1916;India;london;no
Jan Boldingh;1915;Indonesia;utrecht;no
Mark H. Overmars;1958;Netherlands;utrecht;no
Albert A. Michelson;1852;Poland;united states naval academy;no
Abraham Robinson;1918;Poland;london;no
Manuel Castells;1942;Spain;paris;no
Ernst Antevs;1888;Sweden;stockholm;no
Edward Ginzton;1915;Ukraine;stanford;no
Edward Ginzton;1915;Ukraine;california, berkeley;no
Frank Lee Pyman;1882;United Kingdom;manchester;no
Keith Nugent;1959;United Kingdom;australian national;no
Edward Witten;1951;United States;brandeis;no
Norbert Wiener;1894;United States;tufts;no
Boyd Haley;1940;United States;idaho;no
Scott Shenker;1956;United States;brown;no
Ivan Edward Sutherland;1938;United States;california institute technology;no
Peter W. Shor;1959;United States;california institute technology;no
Robert Carhart Merton;1944;United States;california institute technology;no
Robert Endre Tarjan;1948;United States;california institute technology;no
Charles Lane Poor;1866;United States;johns hopkins;no
Frederic M. Richards;1925;United States;massachusetts institute technology;no
George Lakoff;1941;United States;massachusetts institute technology;no
Ivan Edward Sutherland;1938;United States;massachusetts institute technology;no
Peter W. Shor;1959;United States;massachusetts institute technology;no
Robert Carhart Merton;1944;United States;massachusetts institute technology;no
Robert A. Millikan;1868;United States;oberlin;no
Paul Flory;1910;United States;ohio;no
