Francis William Aston;1877;united kingdom;cambridge;yes
Francis William Aston;1877;united kingdom;birmingham;yes
Lars Onsager;1903;norway;norwegianscienceandtechnology;yes
Pierre Curie;1859;france;sorbonne;yes
Martin Rodbell;1925;usa;johnshopkins;yes
Martin Rodbell;1925;usa;washington;yes
Herbert Kroemer;1928;germany;jena;yes
Edward C. Prescott;1940;usa;carnegiemellon;yes
Edward C. Prescott;1940;usa;casewesternreserve;yes
Edward C. Prescott;1940;usa;swarthmore;yes
Thomas Hunt Morgan;1866;usa;johnshopkins;yes
Thomas Hunt Morgan;1866;usa;kentucky;yes
Martin Karplus;1930;austria;californiainstitutetechnology;yes
Martin Karplus;1930;austria;harvard;yes
Vitaly L. Ginzburg;1916;russia;moscow;yes
Karl Ferdinand Braun;1850;hesse-kassel;marburg;yes
Karl Ferdinand Braun;1850;hesse-kassel;humboldtberlin;yes
Shinya Yamanaka;1962;japan;kobe;yes
Shinya Yamanaka;1962;japan;osakacity;yes
Eric Betzig;1960;usa;californiainstitutetechnology;yes
Eric Betzig;1960;usa;cornell;yes
Baruch S. Blumberg;1925;usa;columbiaphysiciansandsurgeons;yes
Baruch S. Blumberg;1925;usa;ballioloxford;yes
Baruch S. Blumberg;1925;usa;union;yes
Robert Burns Woodward;1917;usa;massachusettsinstitutetechnology;yes
Mario J. Molina;1943;mexico;nationalautonomousmexico;yes
Mario J. Molina;1943;mexico;freiburg;yes
Masatoshi Koshiba;1926;japan;rochester;yes
Masatoshi Koshiba;1926;japan;tokyo;yes
Stanley Cohen;1922;usa;oberlin;yes
Stanley Cohen;1922;usa;michigan;yes
Stanley Cohen;1922;usa;brooklyn;yes
Georg Wittig;1897;germany;marburg;yes
George Wells Beadle;1903;usa;cornell;yes
Wolfgang Paul;1913;germany;technicalberlin;yes
Sydney Brenner;1927;south africa;californiaberkeley;yes
Sydney Brenner;1927;south africa;oxford;yes
Sydney Brenner;1927;south africa;witwatersrand;yes
George Paget Thomson;1892;united kingdom;trinitycambridge;yes
Osamu Shimomura;1928;japan;nagasaki;yes
Osamu Shimomura;1928;japan;nagoya;yes
Ronald Ross;1857;india;bartsandlondonschoolmedicineanddentistry;yes
Ronald Ross;1857;india;worshipfulsocietyapothecaries;yes
Linus Carl Pauling;1901;usa;californiainstitutetechnology;yes
Linus Carl Pauling;1901;usa;oregon;yes
Giulio Natta;1903;italy;polytechnicmilan;yes
Arno Allan Penzias;1933;germany;citynewyork;yes
Arno Allan Penzias;1933;germany;columbia;yes
Percy Williams Bridgman;1882;usa;harvard;yes
Abdus Salam;1926;india;stjohnscambridge;yes
Abdus Salam;1926;india;government;yes
Abdus Salam;1926;india;punjab;yes
Kenneth G. Wilson;1936;usa;californiainstitutetechnology;yes
Kenneth G. Wilson;1936;usa;harvard;yes
Trygve Haavelmo;1911;norway;london;yes
Trygve Haavelmo;1911;norway;oslo;yes
Leland H. Hartwell;1939;usa;californiainstitutetechnology;yes
Leland H. Hartwell;1939;usa;massachusettsinstitutetechnology;yes
Eugene Paul Wigner;1902;austria-hungary;technicalberlin;yes
Arthur Holly Compton;1892;usa;princeton;yes
Val Logsdon Fitch;1923;usa;columbia;yes
Val Logsdon Fitch;1923;usa;mcgill;yes
Oliver E. Williamson;1932;usa;carnegiemellon;yes
Oliver E. Williamson;1932;usa;massachusettsinstitutetechnology;yes
Oliver E. Williamson;1932;usa;stanford;yes
Oliver E. Williamson;1932;usa;doctorphilosophy;yes
Oliver E. Williamson;1932;usa;bachelorscience;yes
Oliver E. Williamson;1932;usa;masterbusinessadministration;yes
Heike Kamerlingh Onnes;1853;the netherlands;groningen;yes
Heike Kamerlingh Onnes;1853;the netherlands;heidelberg;yes
Leonid Vitaliyevich Kantorovich;1912;russian empire;saintpetersburg;yes
Pavel Alekseyevich Cherenkov;1904;russia;voronezh;yes
Carlo Rubbia;1934;italy;scuolanormalesuperioredipisa;yes
Carlo Rubbia;1934;italy;columbia;yes
Thomas Huckle Weller;1915;usa;michigan;yes
Thomas Huckle Weller;1915;usa;harvardmedicalschool;yes
Roger Y. Tsien;1952;usa;harvard;yes
Roger Y. Tsien;1952;usa;cambridge;yes
Polykarp Kusch;1911;germany;casewesternreserve;yes
Yuan T. Lee;1936;taiwan;californiaberkeley;yes
Yuan T. Lee;1936;taiwan;nationaltaiwan;yes
Yuan T. Lee;1936;taiwan;nationaltsinghua;yes
Edwin G. Krebs;1918;usa;washingtoninstlouis;yes
John Franklin Enders;1897;usa;yale;yes
