Iain Stewart;1964;Scotland;University of Bristol;scientist;no
Iain Stewart;1964;Scotland;University of Strathclyde;scientist;no
Cheryl Praeger;1948;Australia;University of Oxford;scientist;no
Cheryl Praeger;1948;Australia;University of Queensland;scientist;no
Ludwig Von Bertalanffy;1901;Austria;University of Vienna;scientist;no
Edward Belbruno;1951;Germany;New York University;scientist;no
Miltiadis Papanikolaou;1947;Greece;Aristotle University of Thessaloniki;scientist;no
Miltiadis Papanikolaou;1947;Greece;Ludwig Maximilian University of Munich;scientist;no
Kevin Desouza;1979;India;Illinois Institute of Technology;scientist;no
Atta Ur Rahman;1942;India;University of Cambridge;scientist;no
Atta Ur Rahman;1942;India;University of Karachi;scientist;no
Kevin Desouza;1979;India;University of Illinois at Chicago;scientist;no
Houshang Amirahmadi;1947;Iran;Cornell University;scientist;no
Houshang Amirahmadi;1947;Iran;University of Tabriz;scientist;no
Houshang Amirahmadi;1947;Iran;University of Dallas;scientist;no
Elkhonon Goldberg;1946;Latvia;Moscow State University;scientist;no
Alfonso Valenzuela-Aguilera;1964;Mexico;University of Paris;scientist;no
Theodore Brewster Taylor;1925;Mexico;California Institute of Technology;scientist;no
Theodore Brewster Taylor;1925;Mexico;University of California, Berkeley;scientist;no
Theodore Brewster Taylor;1925;Mexico;Cornell University;scientist;no
Alfonso Valenzuela-Aguilera;1964;Mexico;Universidad Iberoamericana;scientist;no
Alfonso Valenzuela-Aguilera;1964;Mexico;National Autonomous University of Mexico;scientist;no
Ed van den Heuvel;1940;Netherlands;Utrecht University;scientist;no
Bartel Leendert van der Waerden;1903;Netherlands;University of Amsterdam;scientist;no
Clodomiro Picado Twight;1887;Nicaragua;University of Paris;scientist;no
Tshilidzi Marwala;1971;South Africa;Harvard Business School;scientist;no
Tshilidzi Marwala;1971;South Africa;University of Pretoria;scientist;no
Tshilidzi Marwala;1971;South Africa;Case Western Reserve University;scientist;no
Tshilidzi Marwala;1971;South Africa;University of Cambridge;scientist;no
David Forbes Hendry;1944;United Kingdom;London School of Economics;scientist;no
Keith Campbell;1954;United Kingdom;University of London;scientist;no
C. P. Baron Snow Snow;1905;United Kingdom;Christ's College, Cambridge;scientist;no
David Forbes Hendry;1944;United Kingdom;University of Aberdeen;scientist;no
Derek Abbott;1960;United Kingdom;University of Adelaide;scientist;no
Iain Stewart;1964;United Kingdom;University of Bristol;scientist;no
Keith Campbell;1954;United Kingdom;University of Sussex;scientist;no
C. P. Baron Snow Snow;1905;United Kingdom;University of Leicester;scientist;no
Derek Abbott;1960;United Kingdom;Loughborough University;scientist;no
Iain Stewart;1964;United Kingdom;University of Strathclyde;scientist;no
Kevin J. Tracey;1957;United States;Boston University;scientist;no
Dorothy Ferebee;1898;United States;Simmons College;scientist;no
John Mauchly;1907;United States;Johns Hopkins University;scientist;no
Jack Horkheimer;1938;United States;Purdue University;scientist;no
Richard G. Hovannisian;1932;United States;University of California, Berkeley;scientist;no
Stephen Juan;1949;United States;University of California, Berkeley;scientist;no
Richard G. Hovannisian;1932;United States;University of California, Los Angeles;scientist;no
Victor John Stenger;1935;United States;University of California, Los Angeles;scientist;no
Richard Wesley Hamming;1915;United States;University of Chicago;scientist;no
Jesse Ehrenfeld;1978;United States;University of Chicago;scientist;no
Gregory Wheeler;1968;United States;University of Rochester;scientist;no
Caldwell Esselstyn;1933;United States;Yale University;scientist;no
William Nye;1955;United States;Cornell University;scientist;no
Caldwell Esselstyn;1933;United States;Case Western Reserve University School of Medicine;scientist;no
Francis Low;1921;United States;Columbia University;scientist;no
Manning Julian Dauer;1909;United States;University of Florida;scientist;no
Irvin D. Yalom;1931;United States;George Washington University;scientist;no
Jesse Ehrenfeld;1978;United States;Harvard T.H. Chan School of Public Health;scientist;no
Dorothy Ferebee;1898;United States;Tufts University School of Medicine;scientist;no
Peter A. Olsson;1941;United States;Baylor College of Medicine;scientist;no
Jesse Ehrenfeld;1978;United States;Haverford College;scientist;no
Lloyd Berkner;1905;United States;University of Minnesota;scientist;no
Peter A. Olsson;1941;United States;University of Vermont;scientist;no
Peter A. Olsson;1941;United States;Wheaton College (Illinois);scientist;no
Scott D. Sampson;1961;Canada;University of Toronto;scientist;no
Gilles Pisier;1950;France;Paris Diderot University;scientist;no
P. K. Kelkar;1909;India;Indian Institute of Science;scientist;no
Ishwar K. Puri;1959;India;University of California, San Diego;scientist;no
A. Sivathanu Pillai;1947;India;Harvard University;scientist;no
Pranav Mistry;1981;India;Nirma University of Science and Technology;scientist;no
A. Sivathanu Pillai;1947;India;Savitribai Phule Pune University;scientist;no
P. K. Kelkar;1909;India;University of Liverpool;scientist;no
P. K. Kelkar;1909;India;Institute of Science;scientist;no
T.V. Paul;1950;India;Madras Christian College;scientist;no
Pranav Mistry;1981;India;Indian Institute of Technology Bombay;scientist;no
Pranav Mistry;1981;India;MIT Media Lab;scientist;no
Bharath Sriraman;1971;India;Northern Illinois University;scientist;no
Bharath Sriraman;1971;India;University of Alaska Fairbanks;scientist;no
A. Sivathanu Pillai;1947;India;University of Madras;scientist;no
T.V. Paul;1950;India;University of Madras;scientist;no
Hamid Soltanian-Zadeh;1960;Iran;University of Michigan;scientist;no
Carlo La Vecchia;1955;Italy;University of Milan;scientist;no
Alexei Fridman;1940;Russia;Novosibirsk State University;scientist;no
Benjamin Isaac;1945;Switzerland;University of Amsterdam;scientist;no
Mike Hulme;1960;United Kingdom;Swansea University;scientist;no
Mike Hulme;1960;United Kingdom;Durham University;scientist;no
John Bradfield;1925;United Kingdom;University of Cambridge;scientist;no
Nigel Shadbolt;1956;United Kingdom;University of Edinburgh;scientist;no
Nigel Shadbolt;1956;United Kingdom;Newcastle University;scientist;no
Yvonne Shirley Thornton;1947;United States;Columbia University Mailman School of Public Health;scientist;no
Jacqueline K. Barton;1952;United States;Barnard College;scientist;no
Thomas H. Maren;1918;United States;Johns Hopkins University;scientist;no
Bernard Vonnegut;1914;United States;Massachusetts Institute of Technology;scientist;no
Thomas H. Maren;1918;United States;Princeton University;scientist;no
