Iain Stewart;1964;scotland;bristol;scientist;no
Iain Stewart;1964;scotland;strathclyde;scientist;no
Cheryl Praeger;1948;australia;oxford;scientist;no
Cheryl Praeger;1948;australia;queensland;scientist;no
Ludwig Von Bertalanffy;1901;austria;vienna;scientist;no
Edward Belbruno;1951;germany;newyork;scientist;no
Miltiadis Papanikolaou;1947;greece;aristotlethessaloniki;scientist;no
Miltiadis Papanikolaou;1947;greece;ludwigmaximilianmunich;scientist;no
Kevin Desouza;1979;india;illinoisinstitutetechnology;scientist;no
Atta Ur Rahman;1942;india;cambridge;scientist;no
Atta Ur Rahman;1942;india;karachi;scientist;no
Kevin Desouza;1979;india;illinoisatchicago;scientist;no
Houshang Amirahmadi;1947;iran;cornell;scientist;no
Houshang Amirahmadi;1947;iran;tabriz;scientist;no
Houshang Amirahmadi;1947;iran;dallas;scientist;no
Elkhonon Goldberg;1946;latvia;moscow;scientist;no
Alfonso Valenzuela-Aguilera;1964;mexico;paris;scientist;no
Theodore Brewster Taylor;1925;mexico;californiainstitutetechnology;scientist;no
Theodore Brewster Taylor;1925;mexico;californiaberkeley;scientist;no
Theodore Brewster Taylor;1925;mexico;cornell;scientist;no
Alfonso Valenzuela-Aguilera;1964;mexico;universidadiberoamericana;scientist;no
Alfonso Valenzuela-Aguilera;1964;mexico;nationalautonomousmexico;scientist;no
Ed van den Heuvel;1940;netherlands;utrecht;scientist;no
Bartel Leendert van der Waerden;1903;netherlands;amsterdam;scientist;no
Clodomiro Picado Twight;1887;nicaragua;paris;scientist;no
Tshilidzi Marwala;1971;south africa;harvardbusinessschool;scientist;no
Tshilidzi Marwala;1971;south africa;pretoria;scientist;no
Tshilidzi Marwala;1971;south africa;casewesternreserve;scientist;no
Tshilidzi Marwala;1971;south africa;cambridge;scientist;no
David Forbes Hendry;1944;united kingdom;londonschooleconomics;scientist;no
Keith Campbell;1954;united kingdom;london;scientist;no
C. P. Baron Snow Snow;1905;united kingdom;christscambridge;scientist;no
David Forbes Hendry;1944;united kingdom;aberdeen;scientist;no
Derek Abbott;1960;united kingdom;adelaide;scientist;no
Iain Stewart;1964;united kingdom;bristol;scientist;no
Keith Campbell;1954;united kingdom;sussex;scientist;no
C. P. Baron Snow Snow;1905;united kingdom;leicester;scientist;no
Derek Abbott;1960;united kingdom;loughborough;scientist;no
Iain Stewart;1964;united kingdom;strathclyde;scientist;no
Kevin J. Tracey;1957;united states;boston;scientist;no
Dorothy Ferebee;1898;united states;simmons;scientist;no
John Mauchly;1907;united states;johnshopkins;scientist;no
Jack Horkheimer;1938;united states;purdue;scientist;no
Richard G. Hovannisian;1932;united states;californiaberkeley;scientist;no
Stephen Juan;1949;united states;californiaberkeley;scientist;no
Richard G. Hovannisian;1932;united states;californialosangeles;scientist;no
Victor John Stenger;1935;united states;californialosangeles;scientist;no
Richard Wesley Hamming;1915;united states;chicago;scientist;no
Jesse Ehrenfeld;1978;united states;chicago;scientist;no
Gregory Wheeler;1968;united states;rochester;scientist;no
Caldwell Esselstyn;1933;united states;yale;scientist;no
William Nye;1955;united states;cornell;scientist;no
Caldwell Esselstyn;1933;united states;casewesternreserveschoolmedicine;scientist;no
Francis Low;1921;united states;columbia;scientist;no
Manning Julian Dauer;1909;united states;florida;scientist;no
Irvin D. Yalom;1931;united states;georgewashington;scientist;no
Jesse Ehrenfeld;1978;united states;harvardthchanschoolpublichealth;scientist;no
Dorothy Ferebee;1898;united states;tuftsschoolmedicine;scientist;no
Peter A. Olsson;1941;united states;baylormedicine;scientist;no
Jesse Ehrenfeld;1978;united states;haverford;scientist;no
Lloyd Berkner;1905;united states;minnesota;scientist;no
Peter A. Olsson;1941;united states;vermont;scientist;no
Peter A. Olsson;1941;united states;wheaton;scientist;no
Scott D. Sampson;1961;canada;toronto;scientist;no
Gilles Pisier;1950;france;parisdiderot;scientist;no
P. K. Kelkar;1909;india;indianinstitutescience;scientist;no
Ishwar K. Puri;1959;india;californiasandiego;scientist;no
A. Sivathanu Pillai;1947;india;harvard;scientist;no
Pranav Mistry;1981;india;nirmascienceandtechnology;scientist;no
A. Sivathanu Pillai;1947;india;savitribaiphulepune;scientist;no
P. K. Kelkar;1909;india;liverpool;scientist;no
P. K. Kelkar;1909;india;institutescience;scientist;no
T.V. Paul;1950;india;madraschristian;scientist;no
Pranav Mistry;1981;india;indianinstitutetechnologybombay;scientist;no
Pranav Mistry;1981;india;mitmedialab;scientist;no
Bharath Sriraman;1971;india;northernillinois;scientist;no
Bharath Sriraman;1971;india;alaskafairbanks;scientist;no
A. Sivathanu Pillai;1947;india;madras;scientist;no
T.V. Paul;1950;india;madras;scientist;no
Hamid Soltanian-Zadeh;1960;iran;michigan;scientist;no
Carlo La Vecchia;1955;italy;milan;scientist;no
Alexei Fridman;1940;russia;novosibirsk;scientist;no
Benjamin Isaac;1945;switzerland;amsterdam;scientist;no
Mike Hulme;1960;united kingdom;swansea;scientist;no
Mike Hulme;1960;united kingdom;durham;scientist;no
John Bradfield;1925;united kingdom;cambridge;scientist;no
Nigel Shadbolt;1956;united kingdom;edinburgh;scientist;no
Nigel Shadbolt;1956;united kingdom;newcastle;scientist;no
Yvonne Shirley Thornton;1947;united states;columbiamailmanschoolpublichealth;scientist;no
Jacqueline K. Barton;1952;united states;barnard;scientist;no
Thomas H. Maren;1918;united states;johnshopkins;scientist;no
Bernard Vonnegut;1914;united states;massachusettsinstitutetechnology;scientist;no
Thomas H. Maren;1918;united states;princeton;scientist;no
Alan Jay Heeger;1936;united states;californiaberkeley;scientist;no
Gary Goldschneider;1939;united states;pennsylvania;scientist;no
Jennifer Rohn;1967;united states;washington;scientist;no
Gary Goldschneider;1939;united states;yale;scientist;no
Bernard Vonnegut;1914;united states;doctorphilosophy;scientist;no
Jacqueline K. Barton;1952;united states;columbia;scientist;no
David Peter Stroh;1950;united states;michigan;scientist;no
Richard S. Varga;1928;united states;harvard;scientist;no
Richard S. Varga;1928;united states;casewesternreserve;scientist;no
Clarence Lusane;1953;united states;howard;scientist;no
Yvonne Shirley Thornton;1947;united states;columbiaphysiciansandsurgeons;scientist;no
Yvonne Shirley Thornton;1947;united states;monmouth;scientist;no
Richard Levine;1939;united states;rensselaerpolytechnicinstitute;scientist;no
Richard Levine;1939;united states;rhodeislandschooldesign;scientist;no
Jon M. Mills;1947;united states;stetson;scientist;no
Frank Lee Pyman;1882;worcestershire;manchester;scientist;no
John Cornforth;1917;australia;sydney;scientist;no
George Chaldakov;1940;bulgaria;doctorphilosophy;scientist;no
Andrew Carnie;1969;canada;massachusettsinstitutetechnology;scientist;no
John Johnston Oneill;1886;canada;yale;scientist;no
Duncan J. Watts;1971;canada;cornell;scientist;no
Henri Lebesgue;1875;france;paris;scientist;no
Louis de Broglie;1892;france;paris;scientist;no
Athanassios S Fokas;1952;greece;californiainstitutetechnology;scientist;no
Robert Hanbury Brown;1916;india;london;scientist;no
Jan Boldingh;1915;indonesia;utrecht;scientist;no
Mark H. Overmars;1958;netherlands;utrecht;scientist;no
Albert A. Michelson;1852;poland;unitedstatesnavalacademy;scientist;no
Abraham Robinson;1918;poland;london;scientist;no
Manuel Castells;1942;spain;paris;scientist;no
Ernst Antevs;1888;sweden;stockholm;scientist;no
Edward Ginzton;1915;ukraine;stanford;scientist;no
Edward Ginzton;1915;ukraine;californiaberkeley;scientist;no
Frank Lee Pyman;1882;united kingdom;manchester;scientist;no
Keith Nugent;1959;united kingdom;australiannational;scientist;no
Edward Witten;1951;united states;brandeis;scientist;no
Norbert Wiener;1894;united states;tufts;scientist;no
Boyd Haley;1940;united states;idaho;scientist;no
Scott Shenker;1956;united states;brown;scientist;no
Ivan Edward Sutherland;1938;united states;californiainstitutetechnology;scientist;no
Peter W. Shor;1959;united states;californiainstitutetechnology;scientist;no
Robert Carhart Merton;1944;united states;californiainstitutetechnology;scientist;no
Robert Endre Tarjan;1948;united states;californiainstitutetechnology;scientist;no
Charles Lane Poor;1866;united states;johnshopkins;scientist;no
Frederic M. Richards;1925;united states;massachusettsinstitutetechnology;scientist;no
George Lakoff;1941;united states;massachusettsinstitutetechnology;scientist;no
Ivan Edward Sutherland;1938;united states;massachusettsinstitutetechnology;scientist;no
Peter W. Shor;1959;united states;massachusettsinstitutetechnology;scientist;no
