"Nobel";"Country";"Year";"UniversityScore";"Popularity";"Productivity"
"no";"italy";1928;13.3;0;23.1729055258467
"no";"united states";1903;100;13.8107356842579;50.0891265597148
"no";"germany";1884;0;0;2.49554367201426
"no";"united states";1923;80.7;13.1787910765495;4.99108734402852
"no";"zambia";1955;15.4;25.5672397374349;76.2923351158645
"no";"united states";1949;0;20.1967922141704;0.311942959001783
"no";"argentina";1947;24;50.655380655437;31.3725490196078
"no";"sweden";1904;27.4;9.65328998110935;4.63458110516934
"no";"united states";1937;14.9;22.4182668993446;0.89126559714795
"no";"united states";1938;38.8;0;19.6078431372549
"no";"czech republic";1906;13.3;0;1.96078431372549
"no";"england";1913;16.3;28.0830780211213;33.8680926916221
"no";"switzerland";1948;0;0;51.5151515151515
"no";"china";1971;72.8333333333333;25.2194364397845;86.9875222816399
"no";"netherlands";1946;0;8.31489140629709;1.42602495543672
"no";"germany";1965;0;9.65328998110935;26.9162210338681
"no";"china";1953;0;0;58.2887700534759
"no";"united states";1924;86.3;0;48.4848484848485
"no";"israel";1975;28.2;6.58939553827474;26.7379679144385
"no";"india";1932;0;18.5398448213884;26.9162210338681
"no";"germany";1868;18.8;0;0
"no";"austria";1932;0;0;0.53475935828877
"no";"united states";1892;100;0;51.1586452762923
"no";"united states";1939;83.35;0;0.324420677361854
"yes";"west germany";1948;0;33.4696422531244;64.0144665461121
"no";"united states";1957;0;19.3065799622187;76.1140819964349
"no";"united states";1936;49.8;0;4.63458110516934
"no";"united states";1911;76.5;0;11.9429590017825
"no";"ukraine";1894;0;0;0.35650623885918
"no";"netherlands";1955;9.4;10.7468412414233;19.0730837789661
"no";"mogilev region";1901;0;8.31489140629709;7.66488413547237
"no";"united states";1953;56.5;0;8.73440285204991
"no";"russia";1873;33;0;0.35650623885918
"no";"switzerland";1958;24;19.5418229090944;87.8787878787879
"yes";"germany";1904;0;0;24.0506329113924
"no";"united states";1901;21.7;0;2.31729055258467
"no";"devon";1962;54.9;0;4.99108734402852
"no";"united states";1937;89.6;9.65328998110935;38.3244206773619
"yes";"austria-hungary";1869;9.4;17.9681813874064;14.795008912656
"no";"united states";1871;66.8;0;3.38680926916221
"no";"united states";1917;33.8;24.5575769256812;8.55614973262032
"no";"united states";1941;33.6;11.6714256579213;54.9019607843137
"no";"united states";1909;68.35;27.970963984949;60.427807486631
"yes";"sweden";1884;27.4;0;0
"no";"united states";1938;10.9;13.1787910765495;27.0944741532977
"yes";"usa";1932;0;38.4750595959046;95.0177935943061
"no";"united states";1905;86.3;11.6714256579213;18.8948306595365
"no";"united states";1934;86.3;4.15744570314854;8.55614973262032
"no";"united states";1890;47.1;10.7468412414233;23.8859180035651
"no";"scotland";1915;53;14.3823991182398;15.8645276292335
"no";"china";1919;86.3;6.58939553827474;2.85204991087344
"no";"germany";1908;0;20.4001312225326;1.24777183600713
"no";"czech republic";1880;0;33.9032135074366;21.9251336898396
"no";"united states";1913;100;13.8107356842579;11.7647058823529
"no";"united kingdom";1937;0;0;44.7415329768271
"no";"malaysia";1952;0;0;2.13903743315508
"no";"iran";1917;36.2;19.3065799622187;0
"no";"romania";1912;0;32.9716098668506;0.89126559714795
"no";"china";1913;0;0;4.81283422459893
"yes";"hesse-kassel";1850;28.8;51.1015352923353;0.904159132007233
"no";"italy";1940;24.45;34.5414684011544;96.4349376114082
"no";"united states";1954;59.8;18.8064632171355;37.6114081996435
"no";"france";1923;100;9.65328998110935;34.9376114081996
"no";"united states";1945;50.75;22.6972905245369;80.2139037433155
"no";"pakistan";1954;54.9;39.1102049448271;10.873440285205
"no";"united states";1864;0;0;7.66488413547237
"no";"russia";1958;0;10.7468412414233;20.3208556149733
"no";"united states";1876;86.3;13.1787910765495;13.3689839572193
"no";"united states";1936;33.8;18.8064632171355;9.44741532976827
"no";"luxembourg";1941;28.8;29.4214765959336;33.1550802139037
"no";"germany";1935;93.4;15.3843772059459;8.19964349376114
"no";"belgium";1931;86.3;24.6567184605535;35.2941176470588
"yes";"united kingdom";1865;36.2;19.0617326477204;24.5989304812834
"no";"china";1905;0;8.31489140629709;23.3511586452763
"no";"united states";1889;86.3;20.7872285157427;4.09982174688057
"no";"russia";1961;33;0;0
"no";"united kingdom";1925;96.6;0;6.23885918003565
"no";"poland";1853;0;8.31489140629709;0.53475935828877
"no";"nigeria";1937;0;23.699268612243;12.4777183600713
"yes";"prussia";1845;19.1;0;19.3490054249548
"no";"italy";1905;0;0;2.49554367201426
"no";"england";1923;0;0;0.17825311942959
"yes";"prussia";1835;19.1;0;0
"no";"united states";1942;0;16.2426855193841;85.204991087344
"no";"united states";1949;65.95;19.7681866148242;3.5650623885918
"no";"united states";1937;22.1;0;0.17825311942959
"no";"united kingdom";1944;77.45;10.0294386405898;46.44128113879
"no";"australia";1927;0;0;7.66488413547237
"no";"china";1945;96.7;27.186197701447;11.7647058823529
"no";"canada";1920;17.2;0;0.17825311942959
"yes";"france";1938;0;49.2415681656179;31.6455696202532
"no";"poland";1937;0;0;0.89126559714795
"no";"scotland";1944;96.6;0;0
"no";"united states";1984;80.7;35.5811694201163;2.67379679144385
"no";"united states";1922;83.35;9.65328998110935;19.6078431372549
"no";"united kingdom";1938;0;44.4358203218818;1.76292335115865
"no";"united states";1901;100;10.7468412414233;33.1550802139037
"no";"united states";1900;66.7;6.58939553827474;5.16934046345811
"no";"france";1977;64.6;47.0703013094463;0
"no";"united states";1876;0;0;4.27807486631016
"yes";"usa";1948;0;0;7.77576853526221
"no";"new zealand";1912;54.9;0;6.41711229946524
"no";"germany";1952;33;4.15744570314854;91.6221033868093
"no";"united states";1953;33.8;11.6714256579213;1.24777183600713
"no";"united states";1886;29;9.65328998110935;0.89126559714795
"no";"united states";1879;100;4.15744570314854;11.5864527629234
"no";"gloucestershire";1944;60.75;0;34.2245989304813
"no";"canada";1883;50.4;28.1931348024977;3.92156862745098
"no";"united states";1893;79.4;0;51.5151515151515
"no";"united states";1915;0;15.8288713610698;2.13903743315508
"no";"sweden";1905;27.4;16.6297828125942;10.3386809269162
"no";"united states";1925;39.9;0;0.89126559714795
"no";"orsha raion";1896;33;52.469783697097;88.7700534759358
"no";"united states";1886;0;12.4723371094456;1.24777183600713
"no";"united states";1890;89.6;0;10.873440285205
"no";"united states";1937;100;9.65328998110935;67.5579322638146
"no";"italy";1883;0;6.58939553827474;3.38680926916221
