Mikhail Lukin;9
Alan Curtis Kay;47
Paul Pierson;112
Dorothy Nelkin;7
Roy Jay Glauber;0
William Platt Jencks;1
Pasko Rakic;20
Gennady Chibisov;1
Walter Kauzmann;10
Erik Sandewall;2
Alan. Ashworth;0
John B. Whitehead;1
Artur Ekert;21
Yongxiang Lu;0
Dionysis Simopoulos;67
David Nalin;17
Megh Nad Saha;18
Simon Mitton;13
Gian-Carlo Rota;90
John Van Denburgh;2
Grover Stephens;0
Ernst Sigismund Fischer;1
Duncan Haldane;1
Stuart Struever;7
Ernest William Barnes;1
Anton Pelinka;52
Andrew Targowski;4
Michael Freedman;102
Suzan Kahramaner;1
Krzysztof Matyjaszewski;84
Horst Siebert;0
Robert Cade;39
Maria Goeppert Mayer;0
Donald C. Spencer;2
Federico Cafiero;0
George Eugene Uhlenbeck;0
Karl Bowman;10
Peter D. Mitchell;46
Walter Sutton;57
Fritz Machlup;247
Heike Kamerlingh Onnes;180
Philip Wolfe;0
Robert H. Burris;0
Alexander Fleming;6378
Andrew Wilson;905
Guglielmo Marconi;4109
Max Karl Ernst Ludwig Planck;253
George Feher;6
Russell D. Roberts;0
James Willard Hurst;18
Anne Treisman;49
Ralph Richardson;6259
Matthew Hay;3
Max Born;1944
Michael Duff;890
Tariq Mustafa;39
James B. Macelwane;1
Daniel Walls;0
Paul Greengard;70
Richard Levins;54
Karl-Hermann Geib;0
Nigel Kalton;9
Bernhard Neumann;4
Norbert Perrimon;2
Waldemar Haffkine;56
Nicholas F. Hughes;0
George Wells Beadle;30
Edward A Guggenheim;0
David John Impastato;0
Hans V. Westerhoff;0
Zvi Yavetz;5
Frank H. Field;0
Tommaso Boggio;4
William Happer;27
Dominique Foata;3
Percival Hartley;0
Ernest May;271
Giuseppe Cocconi;11
Edwin Powell Hubble;32
David Knechtges;0
Richard Wolfenden;4
Arthur Vineberg;3
Julio Montaner;59
Svend Oluf Heiberg;0
Carl R. De Boor;0
Jan Leeuwen;0
Viktor Hamburger;8
Hartmut Michel;30
James S. Langer;2
Robert Perloff;5
John Woodland Hastings;15
Kenneth Thompson;138
William H. Andrews;38
John James Rickard Macleod;50
Otto Fritz Meyerhof;27
Muhammad Sharif;624
Bernard Vonnegut;9
Kazuo Inamori;1054
Fernando Da Costa Novaes;0
George Otis Smith;2
Roderick J. McDavis;16
David Goodstein;719
Mark Alfred Carleton;4
I. Rivin;0
Derek Abbott;20
James Hillier;10011
